Price,Rating,city,Owner,Fuel_Type,Transmission,RTO,Insurance,Insurance_Type,Company,Model,Kilometres_travelled,year,month
200000.0,3.5,3686,Fourth ,diesel,manual,RTOKA01,,Expired,maruti,swift ldi,85182.0,2007,8
550000.0,4.4,3686,First ,petrol,manual,RTOTS11,,Expired,hyundai,elite i20 sportz 1.2,10994.0,2018,9
192000.0,3.7,3686,Second ,petrol,manual,RTOAP27,28/12/2021,Third_party,maruti,sx4 zxi,73272.0,2008,1
75000.0,3.2,3686,Second ,petrol,manual,RTOAP11,,Expired,maruti,800 std,36124.0,2007,9
325000.0,4.3,3686,First ,petrol,manual,RTOAP09,18/4/2021,Comprehensive,maruti,wagon r 1.0 vxi,1.0,2013,4
490000.0,4.4,3686,First ,petrol,manual,RTOTS07,6/5/2021,Zero_Dep,maruti,swift vxi,29564.0,2015,1
435000.0,4.2,3686,First ,petrol,manual,RTOUP32,5/5/2021,Comp,honda,city v mt petrol,42767.0,2012,2
70000.0,2.8,3686,Second ,petrol,manual,RTOAP36,,Expired,tata,nano std,31549.0,2012,7
160000.0,3.7,3686,Second ,petrol,manual,RTOAP09,,Expired,hyundai,santro xing gl,60339.0,2008,11
310000.0,4.5,3686,First ,petrol,manual,RTOTS08,6/11/2021,Comp,maruti,alto 800 lxi,19998.0,2018,9
120000.0,3.7,3686,Second ,petrol + lpg,manual,RTOAP09,,Expired,maruti,wagon r lxi,81052.0,2002,8
638000.0,4.9,3686,First ,petrol,,RTOTS08,,Expired,tata,tiago xza+ 1.2 rtn ,2723.0,2020,2
350000.0,3.9,3686,First ,diesel,manual,RTOAP29,24/12/2021,Comprehensive,maruti,swift dzire zdi,70024.0,2011,12
450000.0,3.8,3686,First ,petrol,,RTOTS08,30/5/2021,ZeroDepreciation,tata,tiago 	xza 1.2 revotron,19003.0,2018,1
165000.0,3.7,3686,First ,petrol,manual,RTOAP28,,Expired,hyundai,eon era plus,48108.0,2013,2
135000.0,3,3686,Second ,diesel,manual,RTOAP12,,Expired,toyota,qualis fs f3,23942.0,2004,9
380000.0,3.9,3686,First ,diesel,manual,RTOTS13,,Expired,ford,figo aspire 1.5 ambiente diesel,56295.0,2016,10
225000.0,4.5,3686,First ,petrol,manual,RTOAP10,13/10/2021,Comp,maruti,eeco 5 str,17102.0,2010,9
310000.0,4.4,3686,First ,petrol,manual,RTOTS09,,Expired,renault,kwid rxl,17758.0,2017,7
65000.0,3.8,3686,First ,petrol,manual,RTOAP11,23/2/2021,Comp,hyundai,santro lp zip plus,64399.0,2003,2
160000.0,4,3686,First ,petrol,manual,RTOAP09,,Expired,maruti,wagon r lxi minor,40489.0,2006,10
330000.0,4.1,3686,Second ,petrol,manual,RTOTS11,24/3/2021,3rdParty,hyundai,i10 magna 1.1 irde2,59489.0,2014,5
59500.0,2.9,3686,Sixth ,petrol + lpg,manual,RTOAP09,,Expired,mitsubishi,lancer glxi 1.5,129185.0,2000,4
340000.0,3.9,3686,First ,petrol,automatic,RTOTS07,30/10/2021,Comprehensive,maruti,celerio vxi amt,41085.0,2014,9
430000.0,4.4,3686,Second ,petrol,manual,RTOTS10,,Expired,tata,tiago xt 1.2 revotron,9166.0,2018,9
395000.0,4.7,3686,First ,petrol,,RTOTS07,18/3/2021,Comp,renault,kwid climber 1.0,16632.0,2018,1
230000.0,3.4,3686,Second ,petrol,manual,RTOAP09,,Expired,maruti,ritz vxi bs iv,1.0,2010,8
130000.0,3.5,3686,First ,petrol + lpg,manual,RTOMH06,14/6/2021,Comprehensive,maruti,wagon r lxi,79176.0,2007,5
90000.0,3.4,3686,Fifth ,petrol,manual,RTOAP09,,Expired,hyundai,santro xing xg,62094.0,2003,6
300000.0,4.6,3686,First ,petrol,,RTOTS11,,Expired,maruti,alto k10 vxi amt,19717.0,2015,9
550076.0,4.4,3686,First ,petrol,manual,RTOTS09,9/1/2021,Comprehensive,hyundai,grand i10 asta 1.2 kappa vtvt,17472.0,2018,10
210000.0,3.9,3686,Second ,petrol,manual,RTOAP28,29/9/2021,Third_party,maruti,swift vxi 1.3,101073.0,2006,4
360000.0,4.2,3686,Second ,petrol,manual,RTOTS07,,Expired,maruti,wagon r 1.0 vxi,31980.0,2017,7
285000.0,4.7,3686,First ,petrol,manual,RTOTS07,,Expired,maruti,alto 800 lxi,14161.0,2015,5
229000.0,4.3,3686,First ,petrol,manual,RTOAP29,31/1/2021,Comprehensive,maruti,alto k10 lxi,40075.0,2011,4
420000.0,4.2,3686,First ,diesel,manual,RTOAP28,18/12/2021,Zero_Dep,hyundai,grand i10 sportz 1.1 crdi,56898.0,2013,10
420000.0,4.6,3686,First ,petrol,manual,RTOTS08,18/12/2021,3rdParty,maruti,wagon r 1.0 vxi,12773.0,2017,12
215000.0,4.2,3686,First ,petrol,manual,RTOAP09,14/11/2021,Comprehensive,maruti,alto lxi,26063.0,2011,5
230000.0,4.5,3686,First ,petrol,manual,RTOTS13,,Expired,hyundai,eon d lite plus,29860.0,2014,7
561530.0,4.3,3686,First ,petrol,manual,RTOTS07,20/2/2021,Comprehensive,hyundai,elite i20 sportz 1.2,32001.0,2017,1
200000.0,3.9,3686,Second ,petrol,manual,RTOAP28,29/1/2022,Comprehensive,maruti,alto lxi,46317.0,2012,1
420000.0,4.8,3686,First ,petrol,manual,RTOTS07,7/10/2021,ZeroDepreciation,maruti,celerio vxi ,30307.0,2017,8
150000.0,4.3,3686,First ,petrol,manual,RTOWB02,24/9/2020,Comprehensive,maruti,alto k10 vxi ,43092.0,2012,9
380000.0,4.3,3686,First ,petrol,manual,RTOTS08,30/8/2021,Comp,hyundai,grand i10 magna 1.2 vtvt,33622.0,2014,2
430000.0,3.8,3686,Third ,diesel,manual,RTOTS03,30/9/2021,3rdParty,toyota,etios cross  vd,44075.0,2015,8
200000.0,4.1,3686,First ,petrol,manual,RTOAP29,,Expired,hyundai,i10 era 1.1 irde,33622.0,2009,3
261000.0,4.5,3686,First ,petrol,manual,RTOTS09,28/9/2021,Comp,hyundai,eon magna plus,34003.0,2014,3
420000.0,4.7,3686,First ,petrol,manual,RTOTS07,29/8/2021,Comprehensive,hyundai,grand i10 sportz 1.2 kappa vtvt,24213.0,2017,7
550000.0,4.3,3686,First ,petrol,manual,RTOTS10,,Expired,maruti,dzire vxi,23763.0,2017,11
450000.0,4.7,3686,First ,petrol,manual,RTOTS07,11/5/2021,ZeroDepreciation,renault,kwid rxl,9935.0,2019,4
350000.0,4.4,3686,First ,petrol,manual,RTOAP28,21/12/2020,Comprehensive,maruti,ritz vxi bs iv,56709.0,2013,10
370000.0,4.3,3686,First ,petrol,manual,RTODL4C,14/9/2021,ZeroDepreciation,hyundai,grand i10 asta 1.2 kappa vtvt opt,6351.0,2016,7
